2150-128;Largo Dom Manuel I
2154-909;ZONA INDUSTRIAL DA GOLEGÃ
2200-024;AVENIDA ANTÓNIO F. PEREIRA 1770
2200-102;Av. de Paiol, 516A
2200-125;Rua Visconde Abrançalha, 262
2200-196;AVENIDA RAINHA D LEONOR 484
2200-238;RUA CIDADE DE PARTHENAY 256B, LOJA 8
2200-275;RUA AFONSO VASQUES CORREIA 28
2200-416;LARGO MOTTA FERRAZ
2205-380;CENTR. TERMOEL. DO PEGO
2205-537;EN  2,KM 1.1, ARRIFANA
2206-906;Z.INDUSTRIAL TRAMAGAL
2206-909;ROSSIO AO SUL DO TEJO-AP.2
2240-016;Rua da rebatelha 241
2240-037;RUA ANTONIO TEIXEIRA ANTUNES 1269
2240-102;"Rua da Casa do Povo 291 A			"
2240-341;PRAÇA DIAS FERREIRA 23
2240-362;TV. DO FUNDADOR 12 R/C
2240-518;FERREIRA DO ZEZERE
2240-606;Rua da Botica 90
2240-909;GRAVULHA-Aguas Belas
2250-058;CONSTÂNCIA SUL 2250
2260-039;Rua Patriarca D. José
2260-067;Lote 26
2300-000;AVENIDA NUNO ÁLVARES PEREIRA 36/38
2300-302;Alameda dos Templarios
2300-313;Quinta do Contador Estrada da Serra
2300-337;CC Modelo Continente Hipermercados Loja
2300-447;Rua 13 de Fevereiro 50
2300-463;RUA CORONEL GARCÊS TEIXEIRA 15
2300-471;RUA DE COIMBRA 55 - R/C
2300-483;Rua D. Lopo Dias de Sousa 8C
2300-511;Rua Miguel Ferreira, 5
2300-532;AVENIDA D. NUNO ALVARES PEREIRA 138
2300-535;Av. General Bernardo Faria
2300-550;PRACA DA REPUBLICA
2300-555;RUA ANTÓNIO JOAQUIM ARAÚJO, 38 A
2300-557;Rua Conde de Ferreira
